x,number,Day,day,Date,Substrate,sub.day,sub.temp,subs,temp,TEMP,bank,ER.mgm2h,abs.ERmgm2h,notes.er,GPP.mgm2h
,5,Day 1,1,10/26/2023,Cobble.20.1,Cobble.20.1.Day 1,Cobble-20,Cobble,20°,20,1,-4.627272909,4.627272909,,0
,11,Day 1,1,10/26/2023,Cobble.20.2,Cobble.20.2.Day 1,Cobble-20,Cobble,20°,20,2,,,0.464131773,0
,18,Day 1,1,10/26/2023,Cobble.20.3,Cobble.20.3.Day 1,Cobble-20,Cobble,20°,20,3,-4.686256539,4.686256539,,0
,23,Day 1,1,10/26/2023,Cobble.20.4,Cobble.20.4.Day 1,Cobble-20,Cobble,20°,20,4,-1.986286491,1.986286491,,0
,6,Day 1,1,10/26/2023,Cobble.23.1,Cobble.23.1.Day 1,Cobble-23,Cobble,23°,23,1,,,0.860338418,0
,10,Day 1,1,10/26/2023,Cobble.23.2,Cobble.23.2.Day 1,Cobble-23,Cobble,23°,23,2,-6.126899469,6.126899469,,0
,13,Day 1,1,10/26/2023,Cobble.23.3,Cobble.23.3.Day 1,Cobble-23,Cobble,23°,23,3,-5.606280795,5.606280795,,0
,21,Day 1,1,10/26/2023,Cobble.23.4,Cobble.23.4.Day 1,Cobble-23,Cobble,23°,23,4,-2.878215996,2.878215996,,0
,3,Day 1,1,10/26/2023,Cobble.26.1,Cobble.26.1.Day 1,Cobble-26,Cobble,26°,26,1,-6.513811652,6.513811652,,0
,7,Day 1,1,10/26/2023,Cobble.26.2,Cobble.26.2.Day 1,Cobble-26,Cobble,26°,26,2,,,3.255787,0
,17,Day 1,1,10/26/2023,Cobble.26.3,Cobble.26.3.Day 1,Cobble-26,Cobble,26°,26,3,-5.741896614,5.741896614,,0
,24,Day 1,1,10/26/2023,Cobble.26.4,Cobble.26.4.Day 1,Cobble-26,Cobble,26°,26,4,,,4.273638805,0
,4,Day 1,1,10/26/2023,Leaf.20.1,Leaf.20.1.Day 1,Leaf-20,Leaves,20°,20,1,-32.48120301,32.48120301,,0
,12,Day 1,1,10/26/2023,Leaf.20.2,Leaf.20.2.Day 1,Leaf-20,Leaves,20°,20,2,-17.68935762,17.68935762,,0
,14,Day 1,1,10/26/2023,Leaf.20.3,Leaf.20.3.Day 1,Leaf-20,Leaves,20°,20,3,-14.44816053,14.44816053,,0
,22,Day 1,1,10/26/2023,Leaf.20.4,Leaf.20.4.Day 1,Leaf-20,Leaves,20°,20,4,-11.45685997,11.45685997,,0
,1,Day 1,1,10/26/2023,Leaf.23.1,Leaf.23.1.Day 1,Leaf-23,Leaves,23°,23,1,-13.88198758,13.88198758,,0
,8,Day 1,1,10/26/2023,Leaf.23.2,Leaf.23.2.Day 1,Leaf-23,Leaves,23°,23,2,-21.73784978,21.73784978,,0
,15,Day 1,1,10/26/2023,Leaf.23.3,Leaf.23.3.Day 1,Leaf-23,Leaves,23°,23,3,-22.04081633,22.04081633,,0
